"MEAN_MOTION","ECCENTRICITY","INCLINATION","RA_OF_ASC_NODE","ARG_OF_PERICENTER","MEAN_ANOMALY","SEMIMAJOR_AXIS","PERIOD","APOAPSIS","PERIAPSIS","OBJECT_TYPE","RCS_SIZE","OBJECT_AGE","CENT_FOCUS_DIST"
13.91401132,0.0031636,64.9627,50.017,83.1277,277.3384,7301.862,103.493,946.827,900.627,"DEBRIS","SMALL",43,23.1001706232
13.91433249,0.0031826,64.9627,52.4991,79.9354,280.5298,7301.749,103.49,946.853,900.376,"DEBRIS","SMALL",43,23.2385463674
13.91203446,0.0032674,64.9632,76.4648,75.6555,284.8132,7302.553,103.508,948.279,900.558,"DEBRIS","SMALL",43,23.8603616722
13.15285087,0.0833178,100.0388,124.2618,71.859,297.139,7580.92,109.482,1834.411,571.159,"DEBRIS","SMALL",49,631.625576376
13.67080129,0.0513622,29.1197,56.597,34.3594,33.6517,7388.209,105.334,1389.549,630.6,"DEBRIS","SMALL",47,379.4746682998
13.67843496,0.0117438,99.5049,170.3088,31.1566,24.4911,7385.46,105.275,1094.059,920.592,"DEBRIS","SMALL",49,86.733365148
13.44906117,0.0079286,99.0654,299.5977,316.8622,220.5993,7469.196,107.071,1150.281,1031.841,"DEBRIS","SMALL",49,59.2202674056
13.72264372,0.0041935,99.6893,173.9395,243.2738,238.9208,7369.59,104.936,1022.359,960.55,"DEBRIS","SMALL",49,30.904375665
14.73266984,0.0046031,98.2359,275.9589,318.7361,41.0371,7028.795,97.742,683.014,618.306,"DEBRIS","SMALL",23,32.3542462645
14.79796464,0.0054159,98.2959,250.4945,130.6152,229.9788,7008.104,97.311,667.924,592.013,"DEBRIS","SMALL",23,37.9551904536
15.2164636,0.0014496,97.5538,330.8006,109.1781,251.1025,6879.011,94.634,510.848,490.904,"DEBRIS","SMALL",23,9.9718143456
14.75305688,0.0061181,98.1901,258.7335,321.0509,38.63,7022.318,97.607,687.146,601.22,"DEBRIS","SMALL",23,42.9632437558
15.22132092,0.004345,97.3348,287.8056,152.9883,207.3628,6877.548,94.604,529.296,469.53,"DEBRIS","SMALL",23,29.88294606
14.4353812,0.0046563,98.1297,310.4585,91.3908,83.021,7124.969,99.755,780.01,713.658,"DEBRIS","SMALL",38,33.1759931547
14.72402002,0.0062814,64.5578,6.2168,354.956,5.0899,7031.547,97.799,697.58,609.244,"PAYLOAD","SMALL",22,44.1679593258
14.75816158,0.005766,64.5546,281.8632,342.46,17.4509,7020.699,97.573,683.045,602.082,"PAYLOAD","SMALL",22,40.481350434
14.79642636,0.0048715,64.5537,139.4768,311.0625,48.6275,7008.589,97.321,664.597,596.312,"PAYLOAD","SMALL",22,34.1423413135
13.92813892,0.0026539,82.5149,77.5393,161.1242,199.0913,7296.923,103.388,938.154,899.423,"DEBRIS","SMALL",37,19.3653039497
14.56734451,0.0019637,82.2627,133.7094,182.2898,177.8215,7081.875,98.851,717.647,689.833,"DEBRIS","SMALL",37,13.9066779375
13.91040347,0.005866,65.0503,341.0863,240.4376,119.0833,7303.124,103.52,967.829,882.149,"DEBRIS","SMALL",40,42.840125384
13.714896,0.0068901,82.5058,312.4253,84.0954,90.6958,7372.365,104.995,1045.026,943.434,"DEBRIS","SMALL",37,50.7963320865
14.78882843,0.0062665,98.2166,299.4472,199.6678,160.2114,7010.99,97.371,676.789,588.92,"DEBRIS","SMALL",23,43.934368835
14.42363574,0.0173828,97.286,42.4907,268.6335,89.494,7128.837,99.836,874.621,626.783,"DEBRIS","SMALL",23,123.9191478036
15.03733763,0.0030699,97.8678,350.2763,227.2536,307.8646,6933.532,95.762,576.683,534.112,"DEBRIS","SMALL",23,21.2852498868
14.36712191,0.0105817,98.8139,306.2984,226.0299,133.2124,7147.519,100.229,845.017,693.751,"DEBRIS","SMALL",25,75.6329018023
14.45122145,0.0077838,98.7014,295.2046,135.3775,348.4567,7119.762,99.646,797.046,686.208,"DEBRIS","SMALL",25,55.4188034556
14.32515038,0.010797,98.8313,276.4724,290.0876,186.6846,7161.473,100.523,860.661,706.016,"DEBRIS","SMALL",25,77.322423981
14.22537284,0.0331451,81.9785,135.112,227.5732,129.698,7194.922,101.228,1055.263,578.31,"DEBRIS","SMALL",30,238.4764091822
14.3687065,0.0090865,98.7772,281.346,92.9999,268.1589,7146.994,100.218,833.8,703.917,"DEBRIS","SMALL",25,64.941160981
14.44498559,0.0091542,98.6742,314.4917,319.286,216.3233,7121.811,99.689,808.87,678.481,"DEBRIS","SMALL",25,65.1944822562
13.25729704,0.0208085,99.7865,316.9412,304.3363,232.7168,7541.051,108.619,1319.833,1005.998,"DEBRIS","SMALL",23,156.9179597335
13.30796922,0.0182551,100.5028,120.5202,224.8338,146.4941,7521.896,108.206,1281.074,1006.448,"DEBRIS","SMALL",23,137.3129636696
12.08770632,0.1170213,96.493,258.6874,40.712,327.571,8019.967,119.129,2580.339,703.325,"DEBRIS","SMALL",59,938.5069642971
14.39030706,0.0126849,31.6399,3.4385,336.2779,23.204,7139.84,100.067,852.273,671.137,"DEBRIS","SMALL",59,90.568156416
2.75342557,0.6735746,27.0276,200.2736,120.7129,350.3586,21502.368,522.985,29607.681,640.784,"DEBRIS","SMALL",59,14483.4489246528
8.8387978,0.2304827,87.9232,277.3397,48.5215,338.7026,9881.125,162.918,5780.418,1225.561,"DEBRIS","SMALL",58,2277.4283690375
14.90305918,0.0014545,70.0089,168.9534,237.1233,295.3978,6975.118,96.624,607.128,586.838,"DEBRIS","SMALL",55,10.145309131
14.23888471,0.0109366,97.8111,84.5171,129.2993,231.7949,7190.369,101.132,890.872,733.596,"DEBRIS","SMALL",49,78.6381896054
11.68288759,0.0414033,102.6327,162.2774,307.8901,210.5839,8204.177,123.257,2165.722,1486.362,"DEBRIS","SMALL",48,339.6800015841
11.83201768,0.0380638,102.4758,157.24,64.6951,49.3999,8135.095,121.704,2066.613,1447.307,"DEBRIS","SMALL",48,309.652629061
14.01028969,0.0484462,28.6531,38.9693,270.8828,83.6281,7268.371,102.782,1242.361,538.111,"DEBRIS","SMALL",47,352.1249551402
6.55710827,0.4487771,31.3506,64.3032,188.9858,272.6499,12057.583,219.609,11090.616,268.281,"DEBRIS","SMALL",46,5411.1671317493
14.0849473,0.00287,83.1175,47.1704,11.7767,348.4073,7242.664,102.237,885.316,843.743,"DEBRIS","SMALL",43,20.78644568
13.93719908,0.0103278,83.1221,259.4776,209.5855,149.9445,7293.761,103.321,990.954,840.297,"DEBRIS","SMALL",43,75.3285048558
13.78082456,0.0096618,83.0532,21.2428,321.0442,104.8036,7348.833,104.493,1041.701,899.695,"DEBRIS","SMALL",43,71.0029546794
12.15020925,0.0054575,82.9591,140.9164,270.6575,266.6448,7992.439,118.516,1657.923,1570.685,"DEBRIS","SMALL",43,43.6187358425
12.08095226,0.0028657,82.9582,240.6786,356.4663,15.8701,8022.956,119.196,1667.812,1621.829,"DEBRIS","SMALL",43,22.9913850092
12.1563632,0.005626,82.9536,126.5551,233.464,304.4281,7989.742,118.456,1656.557,1566.656,"DEBRIS","SMALL",43,44.950288492
13.90797741,0.0057491,65.0523,346.5276,236.7974,122.757,7303.974,103.538,967.83,883.847,"DEBRIS","SMALL",40,41.9912769234
15.42435964,0.0021449,97.0467,1.3384,84.0495,276.3197,6817.059,93.359,453.546,424.303,"DEBRIS","SMALL",39,14.6219098491
14.56525917,0.0066057,74.1259,97.6016,277.1043,82.2612,7082.551,98.865,751.201,657.631,"DEBRIS","SMALL",37,46.7852071407
12.200502,0.0135328,74.0633,179.7729,154.62,219.8041,7970.46,118.028,1700.187,1484.462,"DEBRIS","SMALL",33,107.862641088
12.18549264,0.0175737,74.0539,195.6271,189.8463,183.8891,7977.003,118.173,1739.054,1458.683,"DEBRIS","SMALL",33,140.1854576211
12.14270319,0.0178776,74.1058,6.2578,290.69,81.3057,7995.732,118.59,1760.542,1474.653,"DEBRIS","SMALL",33,142.9444984032
12.19308157,0.0088511,73.964,147.3054,3.8637,20.621,7973.693,118.1,1666.134,1524.982,"DEBRIS","SMALL",33,70.5759541123
12.19342523,0.0175571,74.0512,185.9558,181.9969,300.7706,7973.543,118.096,1735.401,1455.416,"DEBRIS","SMALL",33,139.9922918053
14.16338697,0.0115896,71.1051,207.398,262.5067,213.1714,7215.899,101.671,921.393,754.134,"DEBRIS","SMALL",32,83.6293830504
14.22102381,0.0095778,71.158,88.9565,52.5117,308.4671,7196.388,101.259,887.179,749.328,"DEBRIS","SMALL",32,68.9255649864
14.550718,0.0035675,71.1645,235.6874,57.0376,303.419,7087.269,98.964,734.417,683.85,"DEBRIS","SMALL",32,25.2838321575
14.26376901,0.0184526,75.7588,138.6334,330.1439,96.7714,7182.004,100.955,936.396,671.342,"DEBRIS","SMALL",31,132.5266470104
14.51614263,0.0054553,70.9984,283.7525,133.8459,240.1767,7098.518,99.2,759.108,681.658,"DEBRIS","SMALL",30,38.7245452454
14.14017274,0.0180101,98.5099,90.437,266.2388,160.0993,7223.794,101.838,975.76,715.558,"DEBRIS","SMALL",25,130.1012523194
